BorrName,BorrID,LoanStatus,GrossApproval,SBAGuarantee,PctOfGuarantee,InterestRate,TermMonths,ApprovalFiscalYear,ApprovalDate,DisbursementDate,Days2Funded,MaturityDate,Status,DebtCoverage,Leverage,COFiscalYear,COAmount,PrinBalanceCollected,PctOfPrinColl,CODate,DaysRemainingAtCO,MonthsRemainingAtCO,NaicsCode,JobsSupported
Personal Pediatric Care PLLC,34,CHGOFF,220000,165000,0.75,6,84,2015,11/17/14,12/1/14,14,10/25/21,1,1,7,2018,192455,27545,0.125,2/5/18,1358,45,621111,5
Burnham Chiropractic Enterpris,35,CHGOFF,25000,21250,0.85,8,80,2013,3/13/13,5/1/13,49,11/26/19,1,1.25,6.25,2018,20011,4989,0.2,2/2/18,662,22,621310,6
Pay Sell Co.,36,CHGOFF,250000,187500,0.75,6.25,113,2016,6/9/16,8/1/16,53,11/12/25,1,2.25,4,2018,248821,1179,0.005,1/31/18,2842,95,454111,6
AEAD TECHNOLOGIES INC,37,CHGOFF,7500,6375,0.85,7.75,44,2011,6/9/11,6/9/11,0,1/19/15,1,2,5.3,2018,3642,3858,0.514,1/31/18,-1108,-37,423610,1
H2OS DIVERSITY INC. LLC.,38,CHGOFF,45000,38250,0.85,7,83,2015,10/15/14,10/15/14,0,8/9/21,1,1.25,6.25,2018,35917,9083,0.202,1/31/18,1286,43,541612,21
"TASTE OF GRACE, LLC",39,CHGOFF,80000,40000,0.5,7.65,62,2016,12/16/15,12/16/15,0,1/18/21,1,1,7,2018,67802,12198,0.152,1/29/18,1085,36,722513,20
Fred Rice LLC,40,CHGOFF,25000,12500,0.5,7,67,2016,7/28/16,8/1/16,4,2/1/22,1,2.25,4,2018,24300,700,0.028,1/26/18,1467,49,238290,12
Tour Transports LLC,41,CHGOFF,260000,195000,0.75,5.5,17,2014,4/9/14,9/1/14,145,1/24/16,1,2.75,4.25,2018,56429,203571,0.783,1/24/18,-731,-24,561520,6
"Silcon, Inc",42,CHGOFF,150000,75000,0.5,6.25,49,2012,7/3/12,7/3/12,0,7/12/16,1,2.25,4,2018,149980,20,0,1/23/18,-560,-19,334111,12
"Taste of Eden Bistro, LLC",43,CHGOFF,380000,285000,0.75,6,268,2015,12/31/14,1/1/15,1,1/5/37,1,3,3,2018,35700,344300,0.906,1/19/18,6926,231,722511,8
Inferno Holdings Shadowwood Sq,44,CHGOFF,290500,217875,0.75,6.25,113,2016,9/9/16,9/9/16,0,12/21/25,1,1.5,5.75,2018,178508,111992,0.386,1/19/18,2893,96,722513,28
Consolidated Electrical System,45,CHGOFF,444000,333000,0.75,5.75,71,2012,2/22/12,3/1/12,8,12/30/17,1,1.5,5.75,2018,307736,136264,0.307,1/19/18,-20,-1,238210,47
"City Chick, LLC",46,CHGOFF,586000,439500,0.75,5.5,91,2015,7/8/15,7/8/15,0,12/28/22,1,2.25,4,2018,520901,65099,0.111,1/18/18,1805,60,722513,40
"34 X 37 Enterprises, LLC",47,CHGOFF,50000,42500,0.85,7,108,2013,9/11/13,9/11/13,0,7/26/22,1,2.25,4,2018,48339,1661,0.033,1/17/18,1651,55,451130,4
Kett Enterprises Inc,48,CHGOFF,40000,20000,0.5,7.25,30,2011,4/5/11,4/5/11,0,9/21/13,1,1.5,5.75,2018,25500,14500,0.363,1/16/18,-1578,-53,561730,7
"Lighthouse Guidance Systems, I",49,CHGOFF,100000,85000,0.85,6,51,2015,11/28/14,12/1/14,3,2/8/19,1,1,7,2018,82635,17365,0.174,1/11/18,393,13,443142,4
Morning Movers Inc,50,CHGOFF,173000,129750,0.75,6,91,2016,10/19/15,12/1/15,43,5/23/23,1,2.25,4,2018,165232,7768,0.045,1/10/18,1959,65,722511,13
Premium Brazilian Decking,51,CHGOFF,150000,127500,0.85,6,102,2015,6/4/15,6/4/15,0,10/20/23,1,2.25,4,2018,135935,14065,0.094,1/10/18,2109,70,442210,2
"SBSC, LLC",52,CHGOFF,65000,55250,0.85,6,114,2015,12/24/14,12/24/14,0,5/5/24,1,2.25,4,2018,62973,2027,0.031,1/10/18,2307,77,624190,15
"MHS Cabinetry, Inc.",53,CHGOFF,53500,26750,0.5,6,21,2011,7/26/11,8/1/11,6,4/22/13,1,2,5.3,2018,23960,29540,0.552,1/9/18,-1723,-57,238390,7
"KGS Pizza, LLC",54,CHGOFF,205000,153750,0.75,6.25,113,2016,8/10/16,8/10/16,0,11/21/25,1,2.25,4,2018,203833,1167,0.006,1/8/18,2874,96,722511,28
ACCOUNTING SOLUTIONS & TAX PRE,55,CHGOFF,20000,10000,0.5,8.65,52,2015,12/12/14,1/1/15,20,4/10/19,1,2.25,4,2018,19987,13,0.001,1/4/18,461,15,541219,0
Morar Trucking Inc.,56,CHGOFF,29000,14500,0.5,9,43,2014,3/24/14,3/24/14,0,10/4/17,1,2.25,4,2018,28212,788,0.027,1/2/18,-90,-3,484110,0
Street Masters Inc.,57,CHGOFF,21600,10800,0.5,9,37,2013,9/16/13,9/16/13,0,9/30/16,1,2,5.3,2018,10803,10797,0.5,1/2/18,-459,-15,512191,4
"1528 Brands, LLC",58,CHGOFF,45500,22750,0.5,9.65,27,2013,12/19/12,12/19/12,0,3/9/15,1,2,5.3,2018,20927,24573,0.54,1/2/18,-1030,-34,722511,20
"Richard S. Morrow, DMD, P.A.",59,CHGOFF,75000,37500,0.5,7.75,0,2010,9/17/10,9/17/10,0,9/17/10,1,1.75,5.55,2018,39362,35638,0.475,1/2/18,-2664,-89,621210,9
EXPRESS ADVERTISING INC,60,CHGOFF,25000,12500,0.5,9.75,54,2012,9/11/12,10/1/12,20,3/9/17,1,2.25,4,2018,24778,222,0.009,1/2/18,-299,-10,519190,9
Jesus Ortiz-Cancel DBA Jesus O,61,CHGOFF,62700,31350,0.5,3.99,20,2014,4/3/14,4/3/14,0,11/24/15,1,2,5.3,2017,30614,32086,0.512,12/29/17,-766,-26,484110,1
Phi Solutions Group Inc,62,CHGOFF,50000,25000,0.5,6.75,46,2014,8/20/14,8/20/14,0,5/31/18,1,2.25,4,2017,49837,163,0.003,12/29/17,153,5,811111,0
TRADEWORKS AMERICA INC.,63,CHGOFF,80000,40000,0.5,7.15,40,2014,7/28/14,8/1/14,4,11/13/17,1,2.25,4,2017,79824,176,0.002,12/29/17,-46,-2,488510,1
HOT BUCKLES INC,64,CHGOFF,60000,30000,0.5,6,22,2011,4/6/11,4/6/11,0,1/25/13,1,1,7,2017,51931,8069,0.134,12/29/17,-1799,-60,424990,7
Charles Goldberg,65,CHGOFF,25000,21250,0.85,8,61,2011,2/9/11,2/9/11,0,2/13/16,1,1.25,6.25,2017,18367,6633,0.265,12/28/17,-684,-23,524210,2
"Westward Bound, Inc",66,CHGOFF,25000,12500,0.5,5.95,47,2014,8/20/14,8/20/14,0,6/30/18,1,1,7,2017,21459,3541,0.142,12/28/17,184,6,722511,0
"Numismatic Subs, LLC",67,CHGOFF,25000,12500,0.5,5.75,6,2013,7/15/13,12/1/13,139,5/30/14,1,2.25,4,2017,25000,0,0,12/28/17,-1308,-44,722320,0
CHADAM INC.,68,CHGOFF,7500,6375,0.85,7.5,66,2010,9/7/10,9/7/10,0,2/8/16,1,1.5,5.75,2017,4872,2628,0.35,12/28/17,-689,-23,311920,9
"Greater Tampa Bay Health Care,",69,CHGOFF,150000,127500,0.85,6,86,2015,10/27/14,10/27/14,0,11/19/21,1,1.25,6.25,2017,119869,30131,0.201,12/28/17,1422,47,621610,35
"Centre D'Elle, P.A.",70,CHGOFF,100000,50000,0.5,5.75,49,2015,12/15/14,12/15/14,0,12/24/18,1,2.25,4,2017,98444,1556,0.016,12/20/17,369,12,812199,2
"Beyond Quality Foods, LLC",71,CHGOFF,550000,412500,0.75,7.2,80,2013,11/26/12,1/1/13,36,7/29/19,1,1.25,6.25,2017,436548,113452,0.206,12/14/17,592,20,722212,60
Morning Movers Inc,72,CHGOFF,150000,75000,0.5,6,51,2015,1/16/15,2/1/15,16,4/11/19,1,1.25,6.25,2017,118870,31130,0.208,12/13/17,484,16,722511,16
John Elias,73,CHGOFF,50000,25000,0.5,7.75,67,2012,2/29/12,3/1/12,1,9/1/17,1,1,7,2017,43052,6948,0.139,12/13/17,-103,-3,541110,3
EQUIPMENT SALES OF SOUTH FLORI,74,CHGOFF,80000,40000,0.5,7.3,55,2015,1/29/15,2/1/15,3,8/9/19,1,2.75,4.25,2017,23563,56437,0.705,12/12/17,605,20,444210,8
"ILLUMINATA MED SPA, LLC",75,CHGOFF,150000,75000,0.5,4.25,53,2013,5/28/13,6/1/13,4,10/8/17,1,2.25,4,2017,139232,10768,0.072,12/12/17,-65,-2,713940,10
"WELLMASTERS, INC.",76,CHGOFF,387000,348300,0.9,6,101,2011,10/19/10,12/1/10,43,3/19/19,1,2.75,4.25,2017,110652,276348,0.714,12/7/17,467,16,238910,25
"MCL Holdings, Inc",77,CHGOFF,500000,375000,0.75,5.75,167,2014,5/27/14,6/1/14,5,2/18/28,1,2.5,4.55,2017,188469,311531,0.623,12/7/17,3725,124,812320,4
"CHEF'S HAT OF PALM BEACH, LLC",78,CHGOFF,25000,12500,0.5,7.5,6,2015,2/24/15,3/1/15,5,8/28/15,1,2.5,4.55,2017,9690,15310,0.612,11/30/17,-825,-28,722310,20
"Volusia Family Dental, P.A.",79,CHGOFF,634000,475500,0.75,6,64,2010,9/8/10,10/1/10,23,1/3/16,1,1.5,5.75,2017,393735,240265,0.379,11/29/17,-696,-23,621210,6
Kingdom Tax Services LLC,80,CHGOFF,25000,12500,0.5,6.75,40,2015,11/13/14,11/13/14,0,2/25/18,1,2.25,4,2017,23940,1060,0.042,11/27/17,90,3,541213,8
"MILLER, KAREN K",81,CHGOFF,7500,6750,0.9,8,55,2013,5/6/13,5/6/13,0,11/11/17,1,1.5,5.75,2017,5042,2458,0.328,11/27/17,-16,-1,453220,0
"JoyTech Construction, Inc.",82,CHGOFF,25000,21250,0.85,8,21,2010,9/16/10,9/16/10,0,6/7/12,1,2.5,4.55,2017,9728,15272,0.611,11/22/17,-1994,-66,236220,5
"INNOVATIVE SOLUTION SERVICES,",83,CHGOFF,50000,25000,0.5,7.75,41,2014,2/19/14,3/1/14,10,7/13/17,1,2.25,4,2017,49219,781,0.016,11/21/17,-131,-4,541611,0
THE DUNGEONS HAUNTED ATTRACTIO,84,CHGOFF,25000,12500,0.5,6.98,58,2015,5/4/15,8/1/15,89,5/6/20,1,1,7,2017,20326,4674,0.187,11/15/17,903,30,713110,6
NS Eyewear Inc,85,CHGOFF,43000,21500,0.5,6.75,29,2013,3/12/13,3/12/13,0,7/30/15,1,2.25,4,2017,42892,108,0.003,11/14/17,-838,-28,423460,0
Presidentialelection.com,86,CHGOFF,50000,42500,0.85,6,82,2014,6/13/14,6/13/14,0,3/8/21,1,1.25,6.25,2017,39000,11000,0.22,11/14/17,1210,40,454111,1
MULTI QUALITY FINANCIAL SERVIC,87,CHGOFF,10000,5000,0.5,5.75,59,2015,7/17/15,7/17/15,0,5/21/20,1,2.25,4,2017,8978,1022,0.102,11/13/17,920,31,423430,2
"LU AMERICAS INVESTMENTS, CORP",88,CHGOFF,20000,10000,0.5,9.75,9,2013,7/2/13,7/2/13,0,3/29/14,1,1.25,6.25,2017,14073,5927,0.296,11/13/17,-1325,-44,453998,4
Upstart Internet LLC,89,CHGOFF,100000,85000,0.85,6,94,2015,5/14/15,5/14/15,0,2/1/23,1,1,7,2017,85261,14739,0.147,11/8/17,1911,64,541810,3
"Play Au Lait, LLC",90,CHGOFF,200000,100000,0.5,5.97,64,2011,12/8/10,12/8/10,0,3/11/16,1,1.25,6.25,2017,159429,40571,0.203,10/31/17,-599,-20,713990,42
High-Tech Automation Solutions,91,CHGOFF,100000,50000,0.5,5.75,53,2015,2/5/15,2/5/15,0,6/14/19,1,2.25,4,2017,99156,844,0.008,10/27/17,595,20,423690,2
"Hancock Law Group, P.A.",92,CHGOFF,50000,25000,0.5,5.75,48,2014,9/4/14,9/4/14,0,8/14/18,1,2.25,4,2017,46301,3699,0.074,10/18/17,300,10,541110,0
"Boomerang Graphics, Inc.",93,CHGOFF,500000,375000,0.75,5.75,93,2011,8/1/11,9/1/11,31,4/22/19,1,1.25,6.25,2017,362820,137180,0.274,10/18/17,551,18,323110,17
SILVER SPRINGS SOUVENIRS OF OC,94,CHGOFF,20000,18000,0.9,7.75,34,2010,5/21/10,5/21/10,0,3/6/13,1,2,5.3,2017,8160,11840,0.592,10/18/17,-1687,-56,453220,5
"CLOUD 3C, LLC",95,CHGOFF,75000,37500,0.5,5.5,51,2015,10/21/14,10/21/14,0,12/29/18,1,1.5,5.75,2017,48723,26277,0.35,10/13/17,442,15,541990,7
Chaciyd Capital Inc.,96,CHGOFF,50000,25000,0.5,4.4,54,2015,1/27/15,2/1/15,5,7/10/19,1,2.25,4,2017,49016,984,0.02,10/13/17,635,21,236118,20
"Westward Bound, Inc",97,CHGOFF,424500,318375,0.75,6,82,2014,7/2/14,7/2/14,0,3/27/21,1,1.5,5.75,2017,278185,146315,0.345,10/11/17,1263,42,722511,0
COMPASSIONATE HANDS LLC,98,CHGOFF,20000,17000,0.85,7.75,45,2011,4/5/11,4/5/11,0,12/15/14,1,2,5.3,2017,9899,10101,0.505,10/11/17,-1031,-34,624120,27
"Net Worth Holdings, Inc",99,CHGOFF,1572000,1179000,0.75,6,98,2012,2/22/12,3/1/12,8,3/19/20,1,1.5,5.75,2017,945203,626797,0.399,9/28/17,903,30,454111,15
Action Restoration of the Panh,100,CHGOFF,346900,260175,0.75,6,94,2014,9/19/14,9/23/14,4,6/13/22,1,2.25,4,2017,337525,9375,0.027,9/25/17,1722,57,561790,31
Cambrady LLC,101,CHGOFF,513200,384900,0.75,6,112,2015,4/22/15,6/1/15,40,8/12/24,1,1.25,6.25,2017,378967,134233,0.262,9/22/17,2516,84,812320,9
Affordable Auto Repair of Colu,102,CHGOFF,150000,127500,0.85,6,98,2015,6/2/15,6/2/15,0,6/20/23,1,2.25,4,2017,133158,16842,0.112,9/19/17,2100,70,811111,6
ZORI AND ZORI LLC,103,CHGOFF,25000,12500,0.5,8.22,46,2014,6/3/14,6/3/14,0,3/14/18,1,1.25,6.25,2017,17668,7332,0.293,9/18/17,177,6,722511,40
JeffreyLanda,104,CHGOFF,150000,127500,0.85,6,102,2016,12/4/15,1/1/16,28,5/18/24,1,2.25,4,2017,136261,13739,0.092,9/18/17,2434,81,541110,2
"SmartC2, Inc.",105,CHGOFF,250000,125000,0.5,5.5,40,2015,5/8/15,6/1/15,24,9/13/18,1,1,7,2017,219423,30577,0.122,9/15/17,363,12,488119,7
"Coyne Holdings, LLC",106,CHGOFF,150000,127500,0.85,6,95,2015,4/24/15,4/24/15,0,2/11/23,1,1,7,2017,127970,22030,0.147,9/12/17,1978,66,811219,3
JUCADY LLC,107,CHGOFF,308200,231150,0.75,6.25,110,2016,2/29/16,3/1/16,1,3/14/25,1,2.25,4,2017,293470,14730,0.048,8/29/17,2754,92,722513,25
"STEVEN BRAY ENTERPRISES, LLC",108,CHGOFF,150000,127500,0.85,6,103,2015,9/29/15,10/1/15,2,3/17/24,1,2.25,4,2017,138391,11609,0.077,8/28/17,2393,80,811192,14
Action Restoration of the Panh,109,CHGOFF,534300,400725,0.75,7.7,50,2014,12/6/13,12/6/13,0,1/14/18,1,1,7,2017,470480,63820,0.119,8/15/17,152,5,561790,20
Ambil Corporation,110,CHGOFF,95000,47500,0.5,7.25,36,2013,6/10/13,6/10/13,0,5/25/16,1,2.25,4,2017,86870,8130,0.086,8/14/17,-446,-15,326199,15
LOGISTICS HOME SERVICES INC.,111,CHGOFF,210000,105000,0.5,4.25,60,2015,5/22/15,6/1/15,10,5/5/20,1,2.25,4,2017,209433,567,0.003,8/10/17,999,33,621610,2
"ANY WEATHER SERVICES, INC.",112,CHGOFF,75000,37500,0.5,4.75,56,2015,2/16/15,2/16/15,0,9/23/19,1,2.25,4,2017,75000,0,0,8/9/17,775,26,492110,26
Mobile Health Medical Services,113,CHGOFF,50000,25000,0.5,6,49,2014,6/25/14,8/1/14,37,8/10/18,1,2.25,4,2017,46197,3803,0.076,8/9/17,366,12,621391,5
Buckeye Advertising and Market,114,CHGOFF,50000,42500,0.85,7,87,2014,7/19/14,7/19/14,0,9/10/21,1,1,7,2017,40298,9702,0.194,8/9/17,1493,50,541810,6
"4 SANDS, LLC",115,CHGOFF,150000,127500,0.85,6,97,2015,5/5/15,6/1/15,27,5/20/23,1,2.25,4,2017,133513,16487,0.11,8/8/17,2111,70,722511,25
DAVID MILLER PLUMBING LLC,116,CHGOFF,20000,10000,0.5,8.15,33,2013,2/27/13,3/1/13,2,11/16/15,1,2.25,4,2017,19025,975,0.049,8/3/17,-626,-21,238220,2
Express Reliance Transportatio,117,CHGOFF,50000,25000,0.5,7.75,60,2015,6/9/15,6/9/15,0,5/13/20,1,2.25,4,2017,50000,0,0,8/2/17,1015,34,484110,12
"A to Z Credit Solutions, LLC",118,CHGOFF,40000,20000,0.5,4.4,65,2016,11/17/15,11/17/15,0,3/20/21,1,2.25,4,2017,39979,21,0.001,8/2/17,1326,44,541990,4
"Lynn Sampson Interiors, Inc.",119,CHGOFF,50000,25000,0.5,7.4,28,2012,3/23/12,7/1/12,100,10/19/14,1,2,5.3,2017,21794,28206,0.564,8/1/17,-1017,-34,442291,5
TECHONE LOGIC LLC,120,CHGOFF,1550000,1162500,0.75,5.75,102,2015,3/17/15,3/17/15,0,8/2/23,1,2,5.3,2017,658498,891502,0.575,7/31/17,2193,73,541990,8
"CFM RESTAURANTS, INC.",121,CHGOFF,350000,262500,0.75,6,103,2015,2/18/15,2/18/15,0,8/5/23,1,1.25,6.25,2017,268063,81937,0.234,7/28/17,2199,73,722511,32
"Boxes On Wheels, Inc.",122,CHGOFF,25000,21250,0.85,8,72,2013,4/30/13,5/1/13,1,3/31/19,1,1.25,6.25,2017,17933,7067,0.283,7/27/17,612,20,424130,3
"U.S. Pawn and Auto, Inc.",123,CHGOFF,457000,342750,0.75,6,88,2014,10/31/13,11/1/13,1,1/23/21,1,1.5,5.75,2017,288128,168872,0.37,7/25/17,1278,43,453310,0
PRINE PROPERTIES INC,124,CHGOFF,10000,8500,0.85,8,42,2013,10/19/12,10/19/12,0,4/1/16,1,1.75,5.55,2017,5603,4397,0.44,7/25/17,-480,-16,453998,4
PRINE PROPERTIES INC,125,CHGOFF,7500,6375,0.85,7.75,48,2011,4/7/11,4/7/11,0,3/17/15,1,1.75,5.55,2017,3899,3601,0.48,7/25/17,-861,-29,448150,2
GLOBAL FINANCIAL ALTERNATIVES,126,CHGOFF,40000,20000,0.5,8.52,34,2012,7/26/12,8/1/12,6,5/18/15,1,2.25,4,2017,39989,11,0,7/13/17,-787,-26,541611,5
CAI International Inc.,127,CHGOFF,765000,573750,0.75,6,16,2012,10/20/11,11/1/11,12,2/23/13,1,3,3,2017,36482,728518,0.952,7/11/17,-1599,-53,443112,81
LARIOS CORPORATION AND SUNSET,128,CHGOFF,1563200,1172400,0.75,5.5,74,2011,2/9/11,4/1/11,51,4/29/17,1,1.75,5.55,2017,819289,743911,0.476,6/29/17,-61,-2,722110,83
Lake Panasoffkee Sunoco,129,CHGOFF,656700,591030,0.9,6,223,2010,10/20/09,10/20/09,0,2/13/28,1,3,3,2017,26761,629939,0.959,6/27/17,3883,129,447110,2
Safe Money Specialists LLC,130,CHGOFF,10000,8500,0.85,8,62,2014,5/2/14,5/2/14,0,6/5/19,1,1.25,6.25,2017,7508,2492,0.249,6/22/17,713,24,523930,0
DESIGNED MARKETING SYSTEMS,131,CHGOFF,5000,4250,0.85,8,38,2012,4/12/12,4/12/12,0,5/27/15,1,2,5.3,2017,2166,2834,0.567,6/19/17,-754,-25,541613,2
Travelodge,132,CHGOFF,2000000,1500000,0.75,6,211,2010,10/7/09,10/7/09,0,2/5/27,1,1.25,6.25,2017,1551057,448943,0.224,6/16/17,3521,117,721110,27
L&F McCarty LLC,133,CHGOFF,150000,127500,0.85,6.25,111,2016,7/22/16,7/22/16,0,9/3/25,1,2.25,4,2017,144572,5428,0.036,6/16/17,3001,100,811212,4
"The Parker Law Group, P.A.",134,CHGOFF,15000,7500,0.5,8.24,4,2010,1/19/10,2/1/10,13,6/1/10,1,2.75,4.25,2017,3572,11428,0.762,6/9/17,-2565,-86,541110,10
3 RIVERS CONSTRUCTION SERVICES,135,CHGOFF,7500,6750,0.9,7.5,89,2011,10/13/10,10/13/10,0,2/3/18,1,1,7,2017,6216,1284,0.171,6/2/17,246,8,238990,12
REYES & ACOSTA CORPORATION,136,CHGOFF,7500,6750,0.9,7.75,30,2010,10/6/09,10/6/09,0,3/24/12,1,2.5,4.55,2017,2737,4763,0.635,6/2/17,-1896,-63,812112,4
KAJAY LLC,137,CHGOFF,125000,106250,0.85,6.25,106,2016,1/12/16,1/12/16,0,9/26/24,1,2.25,4,2017,116506,8494,0.068,6/2/17,2673,89,541810,2
