BorrName,BorrStreet,BorrCity,BorrState,BorrZip,BorrID,LoanStatus,GrossApproval,SBAGuarantee,InterestRate,TermMonths,ApprovalFiscalYear,ApprovalDate,DisbursementDate,Days2Funded,MaturityDate,Status,COFiscalYear,COAmount,PrinBalanceCollected,CODate,DaysIN2TB4CO,DaysRemainingAtCO,MonthsRemainingAtCO,NaicsCode,NaicsDescription,JobsSupported,DeliveryMethod,subpgmdesc,BankName,BankStreet,BankCity,BankState,BankZip
"DMI ENTERPRISES, LTD",7112 PIPER GLEN DRIVE,SPRINGFIELD,IL,62701,319,CHGOFF,125000,106250,6,43,2010,3/11/10,3/9/10,-2,9/19/13,1,2016,72391,52609,9/13/16,"2,380","-1,090",-36,713910,Golf Courses and Country Clubs,39,OTH 7A,Guaranty,Illinois National Bank,322 E Capitol Ave,SPRINGFIELD,IL,62701
"SIGLER FAMILY EYE CARE, LLC","24023 WEST LOCKPORT STREET, S",PLAINFIELD,IL,60544,5723,EXEMPT,172500,155250,6,120,2010,3/11/10,3/9/10,-2,1/16/20,0,,,,,,"3,600",120,621320,Offices of Optometrists,5,OTH 7A,Guaranty,First Midwest Bank,1 Pierce Pl,ITASCA,IL,60143
ROYCE A WHITE,1208 NE ADAMS,PEORIA,IL,61603,9680,PIF,55800,50220,6,120,2010,3/11/10,3/9/10,-2,1/16/20,0,,,,,,"3,600",120,561730,Landscaping Services,4,RLA,Rural Lender Advantage,Morton Community Bank,721 W Jackson St,MORTON,IL,61550
Windy City Worldwide Inc.,2013 N Pebble Dr,MCHENRY,IL,60051,11057,PIF,125000,62500,6.75,84,2010,3/11/10,3/9/10,-2,1/31/17,0,,,,,,"2,520",84,453998,All Other Miscellaneous Store Retailers (except Tobacco Stores),4,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
United Liquor,22228 Govenors Hwy.,Richton park (richton),IL,60471,11283,PIF,50000,45000,6,120,2010,3/11/10,3/9/10,-2,1/16/20,0,,,,,,"3,600",120,445310,"Beer, Wine, and Liquor Stores",4,PLP,Guaranty,Hanmi Bank,"3660 Wilshire Blvd, PH-A",LOS ANGELES,CA,90010
"Rollin In Dough Pizza, Co.",2735 Hassert Blvd. #103,NAPERVILLE,IL,60564,219,CHGOFF,180000,135000,5.5,48,2010,7/2/10,7/1/10,-1,6/10/14,1,2015,145158,34842,8/24/15,"1,880",-440,-15,722211,Limited-Service Restaurants,31,PLP,Guaranty,"South Central Bank, National Association",525 W Roosevelt Rd,CHICAGO,IL,60607
JOBE SALES AND SERVICE,409 W. GREENWOOD,JACKSONVILLE,IL,62650,2479,EXEMPT,58000,49300,6,120,2010,6/3/10,6/2/10,-1,4/10/20,0,,,,,,"3,600",120,238990,All Other Specialty Trade Contractors,3,RLA,Rural Lender Advantage,The First National Bank of Arenzville,110 S Charles St,ARENZVILLE,IL,62611
"BIGBASH RESTAURANTS, LLC",27425 S WILL RD,WILMINGTON,IL,60481,6689,EXEMPT,7500,6750,7.75,120,2010,3/11/10,3/10/10,-1,1/17/20,0,,,,,,"3,600",120,722110,Full-Service Restaurants,31,COMM EXPRS,Community Express,"Crossroads Small Business Solutions, LLC",9385 Haven Avenue,Rancho Cucamonga,CA,91730
Lampignano & Sons Construction,501 Arthur Ave.,ARLINGTON HEIGHTS,IL,60005,8710,PIF,135000,114750,5,84,2010,6/3/10,6/2/10,-1,4/26/17,0,,,,,,"2,520",84,236220,Commercial and Institutional Building Construction,20,PLP,Guaranty,Union National Bank,101 E Chicago St,ELGIN,IL,60120
Endeavor Staffing Solutions LL,215 W. Elm Street Ste 301.,Sycamore,IL,60178,9424,PIF,25000,12500,8,36,2010,12/24/09,12/23/09,-1,12/7/12,0,,,,,,"1,080",36,561320,Temporary Help Services,3,SBA EXPRES,FA$TRK (Small Loan Express),"Resource Bank, National Association",555 Bethany Rd,DEKALB,IL,60115
"Lava, Inc.",3613 W Devon,CHICAGO,IL,60659,10952,PIF,22000,11000,4.8,84,2010,6/3/10,6/2/10,-1,4/26/17,0,,,,,,"2,520",84,624410,Child Day Care Services,7,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"FX Traders, LLC",655 W Irving Park Rd Apt 901,CHICAGO,IL,60613,11098,PIF,25000,12500,8.1,84,2010,1/16/10,1/15/10,-1,12/9/16,0,,,,,,"2,520",84,523920,Portfolio Management,1,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"IMWC, C, S.C",1147 S. Wabash,CHICAGO,IL,60605,11105,PIF,201100,100550,7.73,120,2010,1/12/10,1/11/10,-1,11/20/19,0,,,,,,"3,600",120,621310,Offices of Chiropractors,45,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
Venus Fashion Inc.,9147 S. COMMERCIAL AVE,CHICAGO,IL,60617,12827,PIF,25000,22500,8,84,2010,1/12/10,1/11/10,-1,12/5/16,0,,,,,,"2,520",84,448150,Clothing Accessories Stores,3,COMM EXPRS,Community Express,Bank of Hope,"3200 Wilshire Blvd, Ste 1400",LOS ANGELES,CA,90010
Susan K. O'Neal,1515 Harlem Ave,OAK PARK,IL,60302,64,CHGOFF,50000,25000,6.25,33,2010,8/31/10,9/1/10,1,5/18/13,1,2013,31821,18179,5/1/13,973,17,1,541110,Offices of Lawyers,2,SBA EXPRES,FA$TRK (Small Loan Express),"First Mid-Illinois Bank & Trust, N.A.",1515 Charleston Ave.,MATTOON,IL,61938
MANGOFUSE INC.,1053 HINSWOOD DRIVE,DARIEN,IL,60561,239,CHGOFF,60000,30000,7.75,50,2012,5/31/12,6/1/12,1,7/10/16,1,2015,59000,1000,11/13/15,"1,260",240,8,313311,Broadwoven Fabric Finishing Mills,12,SBA EXPRES,FA$TRK (Small Loan Express),"Citizens Bank, National Association",1 Citizens Plaza,PROVIDENCE,RI,2903
Take a Bite Food Coaching Serv,1206 N Clinton Blvd,BLOOMINGTON,IL,61701,436,CHGOFF,10000,8500,8,54,2014,12/18/13,12/19/13,1,5/27/18,1,2017,6812,3188,12/27/17,"1,469",151,5,812990,All Other Personal Services,0,SLA,Lender Advantage Initiative,"Crossroads Small Business Solutions, LLC",9385 Haven Avenue,Rancho Cucamonga,CA,91730
Tiz Inc.,3N497 N 17th,St. Charles,IL,60174,453,CHGOFF,440000,330000,6,87,2014,12/31/13,1/1/14,1,2/23/21,1,2018,370450,69550,1/16/18,"1,476","1,134",38,322299,All Other Converted Paper Product Manufacturing,5,PLP,Guaranty,Byline Bank,"180 N LaSalle St, Ste 300",CHICAGO,IL,60101
"Digital Edge Signs, Inc.",248 W. Depot St,Antioch,IL,60002,1111,EXEMPT,53000,45050,6,120,2013,7/31/13,8/1/13,1,6/10/23,0,,,,,,"3,600",120,323111,Commercial Gravure Printing,4,PLP,Guaranty,Waukesha State Bank,151 E St. Paul Ave,WAUKESHA,WI,53188
Industrial Modern Pattern & Mo,7115 Barry Avenue,Rosemont,IL,60016,1252,EXEMPT,350000,262500,5.5,120,2015,6/30/15,7/1/15,1,5/9/25,0,,,,,,"3,600",120,333511,Industrial Mold Manufacturing,14,PLP,Guaranty,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004
RT-DRAC Corp.,106 N. 2nd Street,West Dundee,IL,60118,1320,EXEMPT,500000,375000,6,120,2014,7/31/14,8/1/14,1,6/9/24,0,,,,,,"3,600",120,812112,Beauty Salons,70,OTH 7A,Guaranty,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004
Northern Illinois Funeral Serv,"31632 N. Ellis Drive, Unit 20",Volo,IL,60073,1354,EXEMPT,285000,142500,5.95,216,2014,12/31/13,1/1/14,1,9/29/31,0,,,,,,"6,480",216,812210,Funeral Homes and Funeral Services,4,SBA EXPRES,FA$TRK (Small Loan Express),Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004
"Cedric Spring & Associates, In",525 Tyler Road Suite P,St. Charles,IL,60174,1355,EXEMPT,580000,435000,5.75,120,2014,12/31/13,1/1/14,1,11/10/23,0,,,,,,"3,600",120,541810,Advertising Agencies,14,CLP,Guaranty,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004
Victor Valdez,2300 Meadow Lane,NORTH CHICAGO,IL,60064,1365,EXEMPT,83000,41500,5.75,240,2013,9/30/13,10/1/13,1,6/18/33,0,,,,,,"7,200",240,811111,General Automotive Repair,0,SBA EXPRES,FA$TRK (Small Loan Express),Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004
"Central Chapel, P.C.",6158 S. Central Ave,CHICAGO,IL,60638,1498,EXEMPT,755000,566250,5,300,2015,6/30/15,7/1/15,1,2/20/40,0,,,,,,"9,000",300,812210,Funeral Homes and Funeral Services,7,PLP,Guaranty,United Community Bank,177 Hwy 515 E,BLAIRSVILLE,GA,30512
ALL FREIGHT CARRIERS INC,6313 SOUTHRIDGE DR,PLAINFIELD,IL,60586,1830,EXEMPT,124300,62150,4.74,60,2015,8/31/15,9/1/15,1,8/5/20,0,,,,,,"1,800",60,484121,"General Freight Trucking, Long Distance, Truckload",0,SBA EXPRES,FA$TRK (Small Loan Express),U.S. Bank National Association,425 Walnut St,Cincinnati,OH,45202
Montessori Foundations of Chic,3575 ARCHER AVE S,CHICAGO,IL,60609,1984,EXEMPT,120000,60000,7.75,60,2014,6/30/14,7/1/14,1,6/5/19,0,,,,,,"1,800",60,624410,Child Day Care Services,6,SBA EXPRES,FA$TRK (Small Loan Express),U.S. Bank National Association,425 Walnut St,Cincinnati,OH,45202
Upton&#39;s Naturals Co.,1939 W. Fulton St.,CHICAGO,IL,60612,2074,EXEMPT,1820000,1365000,4.31,312,2013,11/30/12,12/1/12,1,7/18/38,0,,,,,,"9,360",312,311999,All Other Miscellaneous Food Manufacturing,7,PLP,Guaranty,U.S. Bank National Association,425 Walnut St,Cincinnati,OH,45202
"Vintage Healthcare Services, I",20300 Governor's Highway,OLYMPIA FIELDS,IL,60461,2083,EXEMPT,2280000,1710000,5.25,306,2012,7/31/12,8/1/12,1,9/19/37,0,,,,,,"9,180",306,621610,Home Health Care Services,150,PLP,Guaranty,U.S. Bank National Association,425 Walnut St,Cincinnati,OH,45202
CHIMNEY DEPARTMENT LTD,36 WINGATE DR,OSWEGO,IL,60543,2110,EXEMPT,112500,56250,6.5,84,2011,5/31/11,6/1/11,1,4/25/18,0,,,,,,"2,520",84,561790,Other Services to Buildings and Dwellings,3,SBA EXPRES,FA$TRK (Small Loan Express),U.S. Bank National Association,425 Walnut St,Cincinnati,OH,45202
"RW Systems, Inc.",118 N Halsted St Unti C,CHICAGO,IL,60661,2550,EXEMPT,251600,188700,6,126,2013,9/30/13,10/1/13,1,2/6/24,0,,,,,,"3,780",126,323111,Commercial Gravure Printing,3,SLA,Lender Advantage Initiative,The Bancorp Bank,"409 Silverside Rd, Ste 105",WILMINGTON,DE,19809
AMERICAN SHEET METAL FABRICATO,525 N WILLIAMS STREET,THORNTON,IL,60476,2649,EXEMPT,409000,306750,6,84,2014,10/31/13,11/1/13,1,9/25/20,0,,,,,,"2,520",84,332322,Sheet Metal Work Manufacturing,4,PLP,Guaranty,Stearns Bank National Association,4191 2nd St South,SAINT CLOUD,MN,56301
Kurian Foods Inc.,234 S Wabash Ave,CHICAGO,IL,60604,2758,EXEMPT,103900,88315,6,122,2014,2/28/14,3/1/14,1,3/8/24,0,,,,,,"3,660",122,722110,Full-Service Restaurants,12,PLP,Guaranty,"South Central Bank, National Association",525 W Roosevelt Rd,CHICAGO,IL,60607
Wealthy Trading Corp.,3600 S Albany St,CHICAGO,IL,60632,2760,EXEMPT,486000,364500,5.25,240,2014,10/31/13,11/1/13,1,7/19/33,0,,,,,,"7,200",240,541618,Other Management Consulting Services,9,PLP,Guaranty,"South Central Bank, National Association",525 W Roosevelt Rd,CHICAGO,IL,60607
"STUDIO COLOR, INC.",1140 Industrial Drive,BENSENVILLE,IL,60106,2896,EXEMPT,125000,62500,5.75,84,2017,1/31/17,2/1/17,1,12/27/23,0,,,,,,"2,520",84,323111,Commercial Gravure Printing,9,SBA EXPRES,FA$TRK (Small Loan Express),"Schaumburg Bank & Trust Company, National Association",1180 E Higgins Rd,SCHAUMBURG,IL,60173
Spa O & Nails Corp. dba Spa O,1454 Waukegan Rd.,Deerfield,IL,60015,3470,EXEMPT,200000,150000,5,120,2013,9/30/13,10/1/13,1,8/10/23,0,,,,,,"3,600",120,812113,Nail Salons,17,PLP,Guaranty,Pacific City Bank,"3701 Wilshire Blvd, Ste 900",LOS ANGELES,CA,90010
"DW Cleaners & Tailors, Inc.","2380 S. Eola Road, Unit 106 &",Aurora,IL,60503,3481,EXEMPT,233000,174750,5.5,120,2012,5/31/12,6/1/12,1,4/10/22,0,,,,,,"3,600",120,812320,Drycleaning and Laundry Services (except Coin-Operated),3,PLP,Guaranty,Pacific City Bank,"3701 Wilshire Blvd, Ste 900",LOS ANGELES,CA,90010
"HERITAGE MOLD, INC. & LEGACY P",3170 FOREST VIEW ROAD,ROCKFORD,IL,61109,3501,EXEMPT,659600,494700,6,84,2010,6/30/10,7/1/10,1,5/25/17,0,,,,,,"2,520",84,333511,Industrial Mold Manufacturing,15,OTH 7A,Guaranty,Northwest Bank of Rockford,3106 N Rockton Ave,ROCKFORD,IL,61103
Illumine North LLC,6663 W. Howard,NILES,IL,60714,3514,EXEMPT,80000,40000,5.5,84,2016,9/30/16,10/1/16,1,8/26/23,0,,,,,,"2,520",84,812990,All Other Personal Services,18,SBA EXPRES,FA$TRK (Small Loan Express),Northbrook Bank & Trust Company,1100 Waukegan Rd,NORTHBROOK,IL,60062
BRADLEY'S WASH' N' DRY INC.,265 Stebbings,Bradley,IL,60915,3703,EXEMPT,164000,123000,6,120,2012,2/29/12,3/1/12,1,1/8/22,0,,,,,,"3,600",120,812310,Coin-Operated Laundries and Drycleaners,1,OTH 7A,Guaranty,Midland States Bank,110 S 5th St,EFFINGHAM,IL,62401
"ANYTIME FITNESS OF NORMAL, INC","1710 Bradford Lane, Suite 112",NORMAL,IL,61761,3741,EXEMPT,80000,68000,5.25,84,2014,12/31/13,1/1/14,1,11/25/20,0,,,,,,"2,520",84,713940,Fitness and Recreational Sports Centers,5,PLP,Guaranty,Marine Bank,3050 Wabash Ave,SPRINGFIELD,IL,62704
Northside Rexall Pharmacy,201 North State Street,GENESEO,IL,61254,3792,EXEMPT,1000000,750000,5.75,120,2017,2/28/17,3/1/17,1,1/8/27,0,,,,,,"3,600",120,446110,Pharmacies and Drug Stores,7,PLP,Guaranty,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403
"Tina E. Stortzum, P.C.",1713 S. State Street #4,CHAMPAIGN,IL,61820,3838,EXEMPT,73000,62050,4.75,120,2015,7/31/15,8/1/15,1,6/9/25,0,,,,,,"3,600",120,541940,Veterinary Services,2,SLA,Lender Advantage Initiative,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403
"Visionary Wealth Advisors, LLC",1254 UNIVERSITY DRIVE,EDWARDSVILLE,IL,62025,3844,EXEMPT,105000,89250,6,120,2015,3/31/15,4/1/15,1,2/7/25,0,,,,,,"3,600",120,523930,Investment Advice,11,SLA,Lender Advantage Initiative,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403
"Holistic Pharmacy Services, In",133 N. Grand Ave. East,SPRINGFIELD,IL,62702,3892,EXEMPT,330000,165000,5.25,120,2013,9/30/13,10/1/13,1,8/10/23,0,,,,,,"3,600",120,446110,Pharmacies and Drug Stores,10,SBA EXPRES,FA$TRK (Small Loan Express),Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403
"Michael J. Lakota, D.D.S., P.C",1767 W Ogden Ave Ste 123,Naperville,IL,60540,3910,EXEMPT,500000,375000,5.25,186,2012,1/31/12,2/1/12,1,5/13/27,0,,,,,,"5,580",186,621210,Offices of Dentists,3,PLP,Guaranty,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403
JSB Xpresso Inc,514 West Union St,Litchfield,IL,62056,3919,EXEMPT,35000,29750,8.5,84,2011,8/31/11,9/1/11,1,7/26/18,0,,,,,,"2,520",84,722213,Snack and Nonalcoholic Beverage Bars,2,RLA,Rural Lender Advantage,Litchfield National Bank,316 N State St,LITCHFIELD,IL,62056
"RK Hospitality, LLC",1787 Aldridge Ct.,Aurora,IL,60598,3956,EXEMPT,966000,724500,6,300,2014,9/30/14,10/1/14,1,5/23/39,0,,,,,,"9,000",300,721110,Hotels (except Casino Hotels) and Motels,0,OTH 7A,Guaranty,Legence Bank,946 Fourth St,ELDORADO,IL,62930
"J. L. Imaging, Inc.",2004 N Polaski,CHICAGO,IL,60639,4096,EXEMPT,90000,45000,8.45,84,2017,7/24/17,7/25/17,1,6/18/24,0,,,,,,"2,520",84,621512,Diagnostic Imaging Centers,2,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"TIMELINE TRANSPORTATION INC.,",3555 N NEVA AVE,CHICAGO,IL,60634,4099,EXEMPT,100000,50000,6.45,72,2017,7/20/17,7/21/17,1,6/20/23,0,,,,,,"2,160",72,484121,"General Freight Trucking, Long Distance, Truckload",11,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
Six Corners Ventures Logan LLC,3510 W Armitage Ave,Chicago,IL,60647,4100,EXEMPT,50000,25000,8,84,2017,7/20/17,7/21/17,1,6/14/24,0,,,,,,"2,520",84,238190,"Other Foundation, Structure, and Building Exterior Contractors",25,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
AAE Trucking Services Inc.,1706 Stonegate Dr.,AURORA,IL,60507,4102,EXEMPT,55000,27500,8.6,84,2017,7/19/17,7/20/17,1,6/13/24,0,,,,,,"2,520",84,484110,"General Freight Trucking, Local",10,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
E Gonzalez Inc.,14450 S LA GRANGE RD,ORLAND PARK,IL,60462,4108,EXEMPT,10000,5000,9,84,2017,7/13/17,7/14/17,1,6/7/24,0,,,,,,"2,520",84,722511,Full-Service Restaurants,12,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
WOOD DALE PHARMACY LLC,1168 HEATHER LN,GLEN ELLYN,IL,60137,4111,EXEMPT,126000,63000,7,84,2017,7/12/17,7/13/17,1,6/6/24,0,,,,,,"2,520",84,446110,Pharmacies and Drug Stores,10,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"ENRGi, LLC",215 W OHIO ST,CHICAGO,IL,60654,4112,EXEMPT,60000,30000,6.6,84,2017,7/12/17,7/13/17,1,6/6/24,0,,,,,,"2,520",84,713940,Fitness and Recreational Sports Centers,0,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"JODY MICHAEL, INC.",405 N WABASH AVE,CHICAGO,IL,60611,4113,EXEMPT,150000,75000,5.45,84,2017,7/12/17,7/13/17,1,6/6/24,0,,,,,,"2,520",84,611430,Professional and Management Development Training,1,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
DOGGIE STYLZ LLC,24906 MICHELE DR,PLAINFIELD,IL,60544,4223,EXEMPT,75000,37500,5.65,84,2017,2/28/17,3/1/17,1,1/24/24,0,,,,,,"2,520",84,453910,Pet and Pet Supplies Stores,2,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
M & M Signature Group Inc.,9801 LAWRENCE AVE,SCHILLER PARK,IL,60176,4235,EXEMPT,50000,25000,9.15,84,2017,1/31/17,2/1/17,1,12/27/23,0,,,,,,"2,520",84,485320,Limousine Service,0,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
NIMA'S FLOAT AND SPA L.L.C.,19081 Old LaGrange Road Suite,MOKENA,IL,60448,4267,EXEMPT,220800,110400,7.3,84,2017,11/30/16,12/1/16,1,10/26/23,0,,,,,,"2,520",84,812199,Other Personal Care Services,20,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
SMR PARTNERS CORP.,38W070 Horseshoe Dr,BATAVIA,IL,60510,4287,EXEMPT,40000,20000,5.8,84,2017,11/7/16,11/8/16,1,10/3/23,0,,,,,,"2,520",84,531210,Offices of Real Estate Agents and Brokers,3,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
SHAAN'S LLC,286 E Geneva Rd,WHEATON,IL,60187,4292,EXEMPT,73000,36500,6.55,84,2017,10/31/16,11/1/16,1,9/26/23,0,,,,,,"2,520",84,713120,Amusement Arcades,2,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
TKO LOGISTICS INC.,6N028 LINDEN AVE,MEDINAH,IL,60157,4365,EXEMPT,150000,75000,6.7,80,2016,7/13/16,7/14/16,1,2/8/23,0,,,,,,"2,400",80,484121,"General Freight Trucking, Long Distance, Truckload",3,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
GRUSSENMEYER PHOTOGRAPHY STUDI,484 S. Durkin Drive,SPRINGFIELD,IL,62704,4466,EXEMPT,10000,5000,5.4,84,2016,2/29/16,3/1/16,1,1/24/23,0,,,,,,"2,520",84,541921,"Photography Studios, Portrait",2,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"BLACKOUT SEALCOATING, INC.",7440 W 87TH PL,BRIDGEVIEW,IL,60455,4467,EXEMPT,285000,213750,4.5,240,2016,2/29/16,3/1/16,1,11/17/35,0,,,,,,"7,200",240,238990,All Other Specialty Trade Contractors,0,SLA,Lender Advantage Initiative,"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
